qseqid	final_id	reason
1c1a7913edb9011a32de8e013d1e0cad4364a8ed	NA%NA%NA%NA%NA%NA	10
399074ff4c05e88f94de8abf5d1895ecaa8016ca	NA%NA%NA%NA%NA%NA	10
f2fc5f2065479d85bd2f07d9db2a425fe48bac21	NA%NA%NA%NA%NA%NA	10
456617d2e8af4b162ccc0082e622e4ac226e04b0	NA%NA%NA%NA%NA%NA	10
58d5e0936af5135a289af3b8d99497affd02e42e	NA%NA%NA%NA%NA%NA	10
db70684342c3a6cabcd3fa501899fb386f256aa5	NA%NA%NA%NA%NA%NA	10
ad50e4282b928f6779f4ec9f06201f2640458e9a	NA%NA%NA%NA%NA%NA	10
ae36d23c4d762853e4f5ee7e828f1871653f1e68	NA%NA%NA%NA%NA%NA	10
90bd4f3af9f427d1fce7893f1ce60393c023d2e7	NA%NA%NA%NA%NA%NA	10
7e01b8e9a39610cf65a3d21d7dd5ae62eaa79b69	NA%NA%NA%NA%NA%NA	10
001ff23a58000ed3b13a24b2b9666bfc0e47ea58	NA%NA%NA%NA%NA%NA	10
43b459ece968195c29915fd275d09b1b8cd97dab	NA%NA%NA%NA%NA%NA	10
0bd4dcec5453d8d7853f98190d78ee084c750544	NA%NA%NA%NA%NA%NA	10
21482fbfbab5a527dc9e726ab4c907ce3ea68abc	NA%NA%NA%NA%NA%NA	10
bae5c9f3bc504db30f4994e9b9696a46e06004ce	NA%NA%NA%NA%NA%NA	10
596b9d7aed113fd88573899349dad0fa922737bc	Oomycota%NA%NA%NA%NA%NA	10
b6d1526433da847c555560e11a6b5ef5d6fdb008	Arthropoda%Insecta%Diptera%Simuliidae%Simulium%NA	3
a5b1e30c3ad16f5bfb46eb5bfff5657d1d502d28	NA%NA%NA%NA%NA%NA	10
a66b15932f0bf1601d79c6319b8309934733c2be	NA%NA%NA%NA%NA%NA	10
a64ff4a916004ab6032d046ed4ae039b3d3b177d	NA%NA%NA%NA%NA%NA	10
a4424b3188e976e08858566c6c69fff8cf8bd806	Rhodophyta%Florideophyceae%Rhodymeniales%NA%NA%NA	10
a1aa43c2c50fbcc807883103ca6aea657ed8d28f	NA%NA%NA%NA%NA%NA	10
fe0ed7454d60c1d083b09315b2c66bfcff2c5337	NA%NA%NA%NA%NA%NA	10
8c4e9b73fb298e32d6a26f446a04b1bca9f691b6	NA%NA%NA%NA%NA%NA	10
913980fc15d47f04fb280b85947e0b2bab6f0d4b	NA%NA%NA%NA%NA%NA	10
9515035c295014dadc1d72a90adc20c2cdf86bff	NA%NA%NA%NA%NA%NA	10
faaf0116bb7312b16d8be882aa1c69e8fbbb70aa	Ascomycota%Eurotiomycetes%Eurotiales%Aspergillaceae%Aspergillus%Aspergillus oryzae	1
95953d54c5dc03c6bbc2ce2110de27c77dfc8bc0	NA%NA%NA%NA%NA%NA	10
e8bd57f77b0f7211e8467805bd429aa2f453c4ea	NA%NA%NA%NA%NA%NA	10
