representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
49d3ab0f2330f7b0edc84e3d9304c35f92beaf9f,33154,Opisthokonta,no rank,1,,,,,,,
53bff6b300d960b1860bc98aa50a21036268224c,2759,Eukaryota,superkingdom,1,,,,,,,
5a8ed54f5b6a51d22f94d47c968c48a38f962266,9606,Homo sapiens,species,NA,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
8d75bf8ce79eabc47c562135008ecbfdc77a2166,7496,Pterygota,subclass,1,Metazoa,Arthropoda,Insecta,,,,
9515035c295014dadc1d72a90adc20c2cdf86bff,33154,Opisthokonta,no rank,0.9396,,,,,,,
95953d54c5dc03c6bbc2ce2110de27c77dfc8bc0,2759,Eukaryota,superkingdom,1,,,,,,,
ae36d23c4d762853e4f5ee7e828f1871653f1e68,2759,Eukaryota,superkingdom,1,,,,,,,
ae808910d4d05c4c9ea15d2a643166b025261da5,2759,Eukaryota,superkingdom,1,,,,,,,
afe22f1ad8e92c7c1784369345875fa50c7f3e99,2759,Eukaryota,superkingdom,1,,,,,,,
b31dd8104aa833cae970a22ae3196de055c97a0b,2759,Eukaryota,superkingdom,1,,,,,,,
cac7b8cd653bf8b6071ccc9e6d7a4f7c5c31dd07,2759,Eukaryota,superkingdom,1,,,,,,,
d2b9a827bb12084a7da24f0b391f9af478ef42b0,2759,Eukaryota,superkingdom,1,,,,,,,
f5a1770107b4e8ab60e7e2ff9a7e79d3ed403cec,6072,Eumetazoa,no rank,0.9997,Metazoa,,,,,,
fc569334ee05043f1d0ae8f9c35074317d5a042c,2759,Eukaryota,superkingdom,1,,,,,,,
0e62dc7dfc9739b89d3c294e42e2c5d96d2ac4d2,33634,Stramenopiles,no rank,1,,,,,,,
153b8022c8b984aa93c73f7bf85fc48569f8cd73,2759,Eukaryota,superkingdom,1,,,,,,,
2f21086d937df6ad03521bca7d5c1e0e9b6b1905,2759,Eukaryota,superkingdom,1,,,,,,,
3113d8f8da6f1b987c56b0c508ecd8e378b07a4a,2759,Eukaryota,superkingdom,0.9983,,,,,,,
38fbcd55ba0c957269b0432702b2a8680af9bc47,2759,Eukaryota,superkingdom,1,,,,,,,
39d6ea961c975b6a1d962877211de5951df5641e,131567,cellular organisms,no rank,1,,,,,,,
3ec6493c831ba0d90556fe94842f0cadbb559eed,2759,Eukaryota,superkingdom,1,,,,,,,
51dabf6d530f9bf0a1bfa7d2b099d7299a9fb5a5,1,root,no rank,NA,,,,,,,
522f83ebd480a73a181490035398e8b0308ab60b,72532,Tanytarsini,tribe,0.9724,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,,
54afdf2f5338e98522df47f470edef0b7b6ab796,1345656,Truncatelloidea,superfamily,1,Metazoa,Mollusca,Gastropoda,Littorinimorpha,,,
54da19692fd9721250ed89115c9b2750a9f1cf82,2759,Eukaryota,superkingdom,1,,,,,,,
57374c5b10f892191a28419268347d6762b153f1,33154,Opisthokonta,no rank,1,,,,,,,
65ce3368bc31bce7759e79c81f157090d9eb1bf8,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
666173177afb8a677e12295152ac5809a2f45b68,2759,Eukaryota,superkingdom,1,,,,,,,
6dce233333052bc58ec43afda8ff3e47f9dc0e3f,33317,Protostomia,no rank,1,Metazoa,,,,,,
98c10781b64f15fc44164e2c53caaea62d38bcdd,131567,cellular organisms,no rank,1,,,,,,,
b6d1526433da847c555560e11a6b5ef5d6fdb008,2759,Eukaryota,superkingdom,1,,,,,,,
e8bd57f77b0f7211e8467805bd429aa2f453c4ea,2759,Eukaryota,superkingdom,0.9546,,,,,,,
fe0ed7454d60c1d083b09315b2c66bfcff2c5337,1,root,no rank,NA,,,,,,,
01cfac288e70629491bcc2fa5abae9eee33cf597,6833,Calanoida,order,0.9963,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
24efd6bfcf66eed68dca15bfeaf3a6794dcc5f59,1,root,no rank,NA,,,,,,,
857d1e20ffeb1b9d7daa3be1693bece69afaf278,2759,Eukaryota,superkingdom,0.9424,,,,,,,
e8367853d2c6bf80d7b6b16e37acf9fb9141b2d4,1,root,no rank,NA,,,,,,,
a9fabd23136aa58592b6f537b4405fdb91ae3a3c,2759,Eukaryota,superkingdom,0.9913,,,,,,,
1bd27e67ffbfb279ae2e661af59c1483b321818a,3042,Chlamydomonadales,order,0.9408,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,,,
544c7e8583d75ec9b18b8793f3487bac5ef7bc4c,33317,Protostomia,no rank,1,Metazoa,,,,,,
ca135a8d4444d1b1bcec09d596edfb9c57d64816,2759,Eukaryota,superkingdom,1,,,,,,,
f252909b914f17a56a35bdf031ed29b9fb3046d2,2759,Eukaryota,superkingdom,1,,,,,,,
1a085834e5d5f771f22c24c9cfa02dde2818fd56,2759,Eukaryota,superkingdom,1,,,,,,,
5194d9124e6eab87987eaab16f53e1c29e038b54,33154,Opisthokonta,no rank,1,,,,,,,
7ca04927be0c3933dbca39972dff3921a1ccc5b0,1779168,Astrophorina,suborder,1,Metazoa,Porifera,Demospongiae,Tetractinellida,,,
b7f9c26ebb9da022d3ea286b807963ce86604a74,2759,Eukaryota,superkingdom,1,,,,,,,
05fbe18c00d19bbc12863f2df236d7cd93ba880a,2759,Eukaryota,superkingdom,1,,,,,,,
53f16f8e4990a945d526c860c6d63aa90015988e,33213,Bilateria,no rank,1,Metazoa,,,,,,
64224373e80cb3afd05a9836239293e2d3f34baf,2759,Eukaryota,superkingdom,1,,,,,,,
84f5fd3128e490d856cc6ceb2c1bbce6df10190d,33154,Opisthokonta,no rank,1,,,,,,,
694fd0263d4da1abba6f2a7b5c5d3db25e009d36,1,root,no rank,NA,,,,,,,
72f2cce85ef814bb817e3bf111ac888da79df279,1,root,no rank,NA,,,,,,,
5773e71884271eb5ca9084121a784b36fa1586b3,33154,Opisthokonta,no rank,1,,,,,,,
a8c916f64cc3e3aac1fc8f2b60b76877c66f9380,2759,Eukaryota,superkingdom,1,,,,,,,
eb031d5c50eb8989a10361dcf5598bca664e40d4,2759,Eukaryota,superkingdom,1,,,,,,,
11998ccf63fd2429a0222ada6d69832462a7ca61,1,root,no rank,NA,,,,,,,
6321baa96843cf9e08e46163a4f8f4454ebbd441,7864,Chimaeriformes,order,1,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,,,
d38c450bf091246c6c4c466c1d3fcf6816e3e617,33154,Opisthokonta,no rank,1,,,,,,,
213d9bf8bf09e20d782c80109a50676c0255c67f,2759,Eukaryota,superkingdom,1,,,,,,,
22323ccbad03d9b31a000aa9cfe8e89aae770018,33154,Opisthokonta,no rank,1,,,,,,,
27a61f6cc651726ba3f7748cae87a0ba154e9f66,2759,Eukaryota,superkingdom,1,,,,,,,
2b4d77981662b128049d7cd84c575ae317dbd79c,2759,Eukaryota,superkingdom,1,,,,,,,
36038e34f3eba8ac8d04af17ad25c2ff95e26b81,2836,Bacillariophyta,phylum,0.9523,,Bacillariophyta,,,,,
3e680896deac906b3afd070acfc8698e1ddfedf9,2759,Eukaryota,superkingdom,0.9974,,,,,,,
4e6377c9a93cbf3d8b413373aa158e4fdd77bb50,33154,Opisthokonta,no rank,1,,,,,,,
66ab17a92b28e24fb6f4ef2afd8139d20344aae2,131567,cellular organisms,no rank,0.9985,,,,,,,
7ae4ac09cd6606d5f74e5e2e230ae489398b4887,33154,Opisthokonta,no rank,0.9996,,,,,,,
97140c34eeefebfae17c42003653a675ee90992f,33634,Stramenopiles,no rank,1,,,,,,,
c836128b275c0999042a0f9c9b1dbedc442ac9d7,1,root,no rank,NA,,,,,,,
cc20b251ffad155ff3d349b7ec82a768fccd074a,1,root,no rank,NA,,,,,,,
dadfc7be5152ea81db7be19ea994b43f0629c017,33208,Metazoa,kingdom,0.999,Metazoa,,,,,,
002e113e0024c8823325ebd3272e6f2cdd9f72f4,2759,Eukaryota,superkingdom,0.9994,,,,,,,
0573443a1b4a10051a594bbe72f01374b6a2bec4,131567,cellular organisms,no rank,1,,,,,,,
098241f09157ea31c74afc8f1a52895c7c3d923c,2759,Eukaryota,superkingdom,1,,,,,,,
14597ba6d2c1eb84724c888635955a376e91e1fd,2759,Eukaryota,superkingdom,1,,,,,,,
21d0b30b570dba2b0deb5a6dfb5320ae57233e05,33634,Stramenopiles,no rank,1,,,,,,,
30806d76f68b9f97a8f8ab6a39626118074e8130,33154,Opisthokonta,no rank,1,,,,,,,
35b464aafea477fbeb512a4868b1ca7e762e96bd,2759,Eukaryota,superkingdom,1,,,,,,,
49df8daf7416e9bb3ca2c15b8fb1c03a2416621c,2759,Eukaryota,superkingdom,1,,,,,,,
4e0c1f2124700f8d9ab5a0bf16163317aa7781c4,33154,Opisthokonta,no rank,0.9999,,,,,,,
766445d091ff0eeb8872d6018722ef77212e33aa,2759,Eukaryota,superkingdom,1,,,,,,,
7dc237aeac17b84f4ba6eba1828ac6fff0dc9f76,131567,cellular organisms,no rank,1,,,,,,,
9167d1131f24a98a6460100e2fa3d6ee9bc3c8f5,33154,Opisthokonta,no rank,1,,,,,,,
9d33badf93a1467d54bd733d81119fd8f219a667,33154,Opisthokonta,no rank,1,,,,,,,
ab3150eed8824d31cafbf7048393ae9b178d071e,2759,Eukaryota,superkingdom,1,,,,,,,
b5e9662f2a298e4f89bcf4c9bf5f735717e6d8a8,2759,Eukaryota,superkingdom,0.8115,,,,,,,
dbddd30dcd58eedb787114598ce52da0b9728b2e,2759,Eukaryota,superkingdom,1,,,,,,,
dda822691ee03019c6ee9dd146c15f2e682f2883,131567,cellular organisms,no rank,1,,,,,,,
e32fd30e50a08d043f80557cc6b93e19e1aec44b,2759,Eukaryota,superkingdom,1,,,,,,,
e49f356be0166695899e2244f74ba8c0b8f79873,2759,Eukaryota,superkingdom,0.9885,,,,,,,
f71bef1ea05be92dfb0442bf974ec050ab073279,33154,Opisthokonta,no rank,1,,,,,,,
